MIU_DOCUMENTOS,PATH_ADUNTO,s3_key,motivo
1003167,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144252/12910158/miuDocumento_1003166_TheOriginsfovirtueCapitulo2.pdf,DATA-DOCS/miu-hml/documentos/144252/12910158/miuDocumento_1003166_TheOriginsfovirtueCapitulo2.pdf,
1003166,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144170/12910158/miuDocumento_1003166_TheOriginsfovirtueCapitulo2.pdf,DATA-DOCS/miu-hml/documentos/144170/12910158/miuDocumento_1003166_TheOriginsfovirtueCapitulo2.pdf,
1003165,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144233/97000389/miuDocumento_1003165_PresentacinCVIIparte.pdf,DATA-DOCS/miu-hml/documentos/144233/97000389/miuDocumento_1003165_PresentacinCVIIparte.pdf,
1003164,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143807/20020492/miuDocumento_1003164_PrincipiosticosyDirectricesparalaProteccindeSujetosHumanosdeInvestigacin.pdf,DATA-DOCS/miu-hml/documentos/143807/20020492/miuDocumento_1003164_PrincipiosticosyDirectricesparalaProteccindeSujetosHumanosdeInvestigacin.pdf,
1003163,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143807/20020492/miuDocumento_1003163_MetodologiadelaInvestigacinHernandezSampieri.pdf,DATA-DOCS/miu-hml/documentos/143807/20020492/miuDocumento_1003163_MetodologiadelaInvestigacinHernandezSampieri.pdf,
1003162,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144249/99000144/miuDocumento_1003161_NormasGuatecompras2026.pdf,DATA-DOCS/miu-hml/documentos/144249/99000144/miuDocumento_1003161_NormasGuatecompras2026.pdf,
1003161,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144248/99000144/miuDocumento_1003161_NormasGuatecompras2026.pdf,DATA-DOCS/miu-hml/documentos/144248/99000144/miuDocumento_1003161_NormasGuatecompras2026.pdf,
1003160,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/142976/23830002/miuDocumento_1003160_2A.Membcelulartejidosrganosysistemas-Copy.pdf,DATA-DOCS/miu-hml/documentos/142976/23830002/miuDocumento_1003160_2A.Membcelulartejidosrganosysistemas-Copy.pdf,
1003159,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/142976/23830002/miuDocumento_1003159_1A.clulasorganelos-Copy.pdf,DATA-DOCS/miu-hml/documentos/142976/23830002/miuDocumento_1003159_1A.clulasorganelos-Copy.pdf,
1003158,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144442/20151049/miuDocumento_1003157_5.LaBauhaus.pptx,DATA-DOCS/miu-hml/documentos/144442/20151049/miuDocumento_1003157_5.LaBauhaus.pptx,
1003157,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144826/20151049/miuDocumento_1003157_5.LaBauhaus.pptx,DATA-DOCS/miu-hml/documentos/144826/20151049/miuDocumento_1003157_5.LaBauhaus.pptx,
1003156,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144623/30950082/miuDocumento_1003156_Semana3SEMESTRE1-Entrepreneurship2026.pdf,DATA-DOCS/miu-hml/documentos/144623/30950082/miuDocumento_1003156_Semana3SEMESTRE1-Entrepreneurship2026.pdf,
1003155,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144824/98000093/miuDocumento_1003154_UFM_SC_Taller01_EntendiendoLaEstructura_27ENE26.pdf,DATA-DOCS/miu-hml/documentos/144824/98000093/miuDocumento_1003154_UFM_SC_Taller01_EntendiendoLaEstructura_27ENE26.pdf,
1003154,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144320/98000093/miuDocumento_1003154_UFM_SC_Taller01_EntendiendoLaEstructura_27ENE26.pdf,DATA-DOCS/miu-hml/documentos/144320/98000093/miuDocumento_1003154_UFM_SC_Taller01_EntendiendoLaEstructura_27ENE26.pdf,
1003153,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144100/20070439/miuDocumento_1003153_NotasProcesoEconmicoIseccinS06primersemestre2026.xlsx,DATA-DOCS/miu-hml/documentos/144100/20070439/miuDocumento_1003153_NotasProcesoEconmicoIseccinS06primersemestre2026.xlsx,
1003152,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144170/12910158/miuDocumento_1003152_aCronogramaSP7C2026.3.docx,DATA-DOCS/miu-hml/documentos/144170/12910158/miuDocumento_1003152_aCronogramaSP7C2026.3.docx,
1003151,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143989/20060007/miuDocumento_1003150_UMModulo22026.pdf,DATA-DOCS/miu-hml/documentos/143989/20060007/miuDocumento_1003150_UMModulo22026.pdf,
1003150,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143990/20060007/miuDocumento_1003150_UMModulo22026.pdf,DATA-DOCS/miu-hml/documentos/143990/20060007/miuDocumento_1003150_UMModulo22026.pdf,
1003149,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143989/20060007/miuDocumento_1003148_NVCA-Model-COI-10-1-2025.docx,DATA-DOCS/miu-hml/documentos/143989/20060007/miuDocumento_1003148_NVCA-Model-COI-10-1-2025.docx,
1003148,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143990/20060007/miuDocumento_1003148_NVCA-Model-COI-10-1-2025.docx,DATA-DOCS/miu-hml/documentos/143990/20060007/miuDocumento_1003148_NVCA-Model-COI-10-1-2025.docx,
1003147,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143989/20060007/miuDocumento_1003146_NVCA-Model-IRA-10-1-2025-2-1.docx,DATA-DOCS/miu-hml/documentos/143989/20060007/miuDocumento_1003146_NVCA-Model-IRA-10-1-2025-2-1.docx,
1003146,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143990/20060007/miuDocumento_1003146_NVCA-Model-IRA-10-1-2025-2-1.docx,DATA-DOCS/miu-hml/documentos/143990/20060007/miuDocumento_1003146_NVCA-Model-IRA-10-1-2025-2-1.docx,
1003145,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143989/20060007/miuDocumento_1003144_NVCA-Model-ROFRA-10-1-2025.docx,DATA-DOCS/miu-hml/documentos/143989/20060007/miuDocumento_1003144_NVCA-Model-ROFRA-10-1-2025.docx,
1003144,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143990/20060007/miuDocumento_1003144_NVCA-Model-ROFRA-10-1-2025.docx,DATA-DOCS/miu-hml/documentos/143990/20060007/miuDocumento_1003144_NVCA-Model-ROFRA-10-1-2025.docx,
1003143,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144234/20060022/miuDocumento_1003143_Compraventa2.pdf,DATA-DOCS/miu-hml/documentos/144234/20060022/miuDocumento_1003143_Compraventa2.pdf,
1003142,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143989/20060007/miuDocumento_1003141_NVCA-Model-SPA-10-28-2025-1.docx,DATA-DOCS/miu-hml/documentos/143989/20060007/miuDocumento_1003141_NVCA-Model-SPA-10-28-2025-1.docx,
1003141,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143990/20060007/miuDocumento_1003141_NVCA-Model-SPA-10-28-2025-1.docx,DATA-DOCS/miu-hml/documentos/143990/20060007/miuDocumento_1003141_NVCA-Model-SPA-10-28-2025-1.docx,
1003140,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143989/20060007/miuDocumento_1003139_NVCA-Model-VA-10-1-2025.docx,DATA-DOCS/miu-hml/documentos/143989/20060007/miuDocumento_1003139_NVCA-Model-VA-10-1-2025.docx,
1003139,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143990/20060007/miuDocumento_1003139_NVCA-Model-VA-10-1-2025.docx,DATA-DOCS/miu-hml/documentos/143990/20060007/miuDocumento_1003139_NVCA-Model-VA-10-1-2025.docx,
1003138,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143770/23830002/miuDocumento_1003138_ListadolaboratorioseccinA.docx,DATA-DOCS/miu-hml/documentos/143770/23830002/miuDocumento_1003138_ListadolaboratorioseccinA.docx,
1003137,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144092/12870542/miuDocumento_1003137_260127Programaeticadelalibertad.pdf,DATA-DOCS/miu-hml/documentos/144092/12870542/miuDocumento_1003137_260127Programaeticadelalibertad.pdf,
1003136,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144064/20010492/miuDocumento_1003136_CineForoGreysAnatomy.docx,DATA-DOCS/miu-hml/documentos/144064/20010492/miuDocumento_1003136_CineForoGreysAnatomy.docx,
1003135,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144704/20180264/miuDocumento_1003135_HAEDiagnstico.pptx,DATA-DOCS/miu-hml/documentos/144704/20180264/miuDocumento_1003135_HAEDiagnstico.pptx,
1003134,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144153/20150835/miuDocumento_1003134_5ecualgebricas_260127_132510.pdf,DATA-DOCS/miu-hml/documentos/144153/20150835/miuDocumento_1003134_5ecualgebricas_260127_132510.pdf,
1003133,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143446/20200391/miuDocumento_1003133_Restriccioneslegtimasalcomercioentrepases.pdf,DATA-DOCS/miu-hml/documentos/143446/20200391/miuDocumento_1003133_Restriccioneslegtimasalcomercioentrepases.pdf,
1003132,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144900/97000353/miuDocumento_1003132_2026-MADRID-PRIMERSEMESTRE-INSTRUCCIONESBLOOMBERG.pdf,DATA-DOCS/miu-hml/documentos/144900/97000353/miuDocumento_1003132_2026-MADRID-PRIMERSEMESTRE-INSTRUCCIONESBLOOMBERG.pdf,
1003131,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143767/39930572/miuDocumento_1003130_Clase4-Intestinodelgado2026.pdf,DATA-DOCS/miu-hml/documentos/143767/39930572/miuDocumento_1003130_Clase4-Intestinodelgado2026.pdf,
1003130,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/143766/39930572/miuDocumento_1003130_Clase4-Intestinodelgado2026.pdf,DATA-DOCS/miu-hml/documentos/143766/39930572/miuDocumento_1003130_Clase4-Intestinodelgado2026.pdf,
1003129,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144579/20041124/miuDocumento_1003129_reason-and-faith-themes-from-richard-swinburne-hardcovernbsped-0198732643-9780198732648_compress.pdf,DATA-DOCS/miu-hml/documentos/144579/20041124/miuDocumento_1003129_reason-and-faith-themes-from-richard-swinburne-hardcovernbsped-0198732643-9780198732648_compress.pdf,
1003128,https://miu-documentos.s3.us-west-2.amazonaws.com/DATA-DOCS/miu-hml/documentos/144220/20060705/miuDocumento_1003127_4LAACCINPENAL.ppt,DATA-DOCS/miu-hml/documentos/144220/20060705/miuDocumento_1003127_4LAACCINPENAL.ppt,
